flight_id,flight_number,flight_date,actual_flight_date,airline,status,delayed_flag,delay_int,total_passengers,baggage_weight,bike_bags,revenue_from_baggage,origin,destination,route_distance,ac_subtype,aircraft_manufacturer,fuel_efficiency,capacity,is_cancelled,is_delayed,month,day_of_week_num,day_of_week,rev_per_pax,rev_per_km,load_factor,fuel_efficiency_per_pax_km,avg_baggage_per_pax,passenger_density_per_km,bike_bag_pct
AAAA515,BA1517,2023-01-04,2023-01-04,BA,Cancelled,,,191,2430,680,30854,Edinburgh,London,665,332,Airbus,1.64350667,406.0,1,0,1.0,3.0,Wednesday,161.5392670157068,46.39699248120301,0.47044334975369456,5.722156730628273,12.722513089005236,0.28721804511278193,356.020942408377
AAAA739,BA1738,2023-01-04,2023-01-04,BA,Scheduled,,,71,630,13,6750,London,Glasgow,717,,,,,0,0,1.0,3.0,Wednesday,95.07042253521126,9.414225941422593,,,8.873239436619718,0.09902370990237098,18.30985915492958
AAAA598,BA1762,2023-01-04,2023-01-04,BA,Scheduled,,,73,1782,0,9453,London,Humberside,370,,,,,0,0,1.0,3.0,Wednesday,129.4931506849315,25.548648648648648,,,24.410958904109588,0.1972972972972973,0.0
AAAA345,BA1787,2023-01-04,2023-01-04,BA,Scheduled,,,56,1620,1240,10303,Norwich,London,239,73J,Boeing,0.02430067,330.0,0,0,1.0,3.0,Wednesday,183.98214285714286,43.10878661087866,0.1696969696969697,0.10371178803571429,28.928571428571427,0.23430962343096234,2214.285714285714
AAAA353,BA1787,2023-01-04,2023-01-04,BA,Cancelled,,,98,2160,0,464,Norwich,London,239,,,,,1,0,1.0,3.0,Wednesday,4.73469387755102,1.9414225941422594,,,22.040816326530614,0.4100418410041841,0.0
AAAA932,BA922,2023-01-04,2023-01-04,BA,Completed,N,0.0,148,2430,16,5203,Kralendijk,London,0,E75,Embraer,0.06596092,88.0,0,0,1.0,3.0,Wednesday,35.1554054054054,,1.6818181818181819,,16.41891891891892,,10.81081081081081
AAAA532,BA1390,2023-01-05,2023-01-05,BA,Cancelled,,,54,1386,0,33259,Linköping,London,957,772,Boeing,0.02009067,220.0,1,0,1.0,4.0,Thursday ,615.9074074074074,34.7533960292581,0.24545454545454545,0.3560513183333333,25.666666666666668,0.05642633228840126,0.0
AAAA368,BA1516,2023-01-05,2023-01-05,BA,Completed,N,0.0,191,1620,360,45900,London,Edinburgh,665,E75,Embraer,0.06596092,88.0,0,0,1.0,4.0,Thursday ,240.31413612565444,69.02255639097744,2.1704545454545454,0.2296545120418848,8.481675392670157,0.28721804511278193,188.48167539267016
AAAA892,BA1538,2023-01-05,2023-01-05,BA,Scheduled,,,94,0,2360,45455,London,Toulouse,997,73W,Boeing,0.041417,189.0,0,0,1.0,4.0,Thursday ,483.56382978723406,45.591775325977935,0.4973544973544973,0.43928456382978726,0.0,0.09428284854563691,2510.6382978723404
AAAA172,BA1706,2023-01-05,2023-01-05,BA,Scheduled,,,191,1620,960,48765,Aberdeen,London,703,E75,Embraer,0.06596092,88.0,0,0,1.0,4.0,Thursday ,255.31413612565444,69.3669985775249,2.1704545454545454,0.2427776270157068,8.481675392670157,0.2716927453769559,502.6178010471204
AAAA828,BA1997,2023-01-05,2023-01-05,BA,Completed,N,0.0,0,486,13,9800,Lisbon,London,1846,,,,,0,0,1.0,4.0,Thursday ,,5.308775731310942,,,,0.0,
AAAA702,BA2004,2023-01-05,2023-01-05,BA,Completed,Y,1.0,105,2430,680,0,Madrid,London,1460,,,,,0,1,1.0,4.0,Thursday ,0.0,0.0,,,23.142857142857142,0.07191780821917808,647.6190476190476
AAAA539,BA2004,2023-01-05,2023-01-05,BA,Scheduled,,,99,1764,720,14465,Madrid,London,1460,789,Boeing,0.02456933,550.0,0,0,1.0,4.0,Thursday ,146.11111111111111,9.907534246575343,0.18,0.36233557373737374,17.818181818181817,0.06780821917808219,727.2727272727273
AAAA727,BA2355,2023-01-05,2023-01-05,BA,Scheduled,,,84,1242,0,14465,Krakow,London,1073,,,,,0,0,1.0,4.0,Thursday ,172.20238095238096,13.48089468779124,,,14.785714285714286,0.0782851817334576,0.0
AAAA767,BA886,2023-01-05,2023-01-05,BA,Completed,N,0.0,81,1566,6,2950,London,Kigali,6486,73J,Boeing,0.02430067,330.0,0,0,1.0,4.0,Thursday ,36.41975308641975,0.4548257786000617,0.24545454545454545,1.9458536496296297,19.333333333333332,0.012488436632747455,7.4074074074074066
AAAA1003,BA955,2023-01-05,2023-01-05,BA,Completed,Y,1.0,0,1692,10,103747,Manila,Bangkok,2187,73H,Boeing,0.03374483,440.0,0,1,1.0,4.0,Thursday ,,47.438042981252856,0.0,,,0.0,
AAAA976,BA2341,2023-01-06,2023-01-06,BA,Completed,N,0.0,0,2160,1,0,Basel,London,560,,,,,0,0,1.0,5.0,Friday   ,,0.0,,,,0.0,
AAAA943,BA2355,2023-01-06,2023-01-06,BA,Completed,Y,1.0,180,1710,16,0,Krakow,London,1073,,,,,0,1,1.0,5.0,Friday   ,0.0,0.0,,,9.5,0.16775396085740912,8.88888888888889
AAAA845,BA542,2023-01-06,2023-01-06,BA,Completed,N,0.0,148,1926,680,10550,Dubai,London,5168,789,Boeing,0.02456933,550.0,0,0,1.0,5.0,Friday   ,71.28378378378379,2.04140866873065,0.2690909090909091,0.8579344421621622,13.013513513513514,0.02863777089783282,459.4594594594595
AAAA264,BA949,2023-01-06,2023-01-06,BA,Cancelled,,,74,2610,520,43259,Bangkok,London,9207,73H,Boeing,0.03374483,440.0,1,0,1.0,5.0,Friday   ,584.581081081081,4.698490279135441,0.16818181818181818,4.198495267702703,35.270270270270274,0.008037362876072554,702.7027027027027
AAAA800,BA1762,2023-01-07,2023-01-07,BA,Cancelled,,,94,0,19,57092,London,Humberside,370,,,,,1,0,1.0,6.0,Saturday ,607.3617021276596,154.3027027027027,,,0.0,0.25405405405405407,20.212765957446805
AAAA591,BA1774,2023-01-07,2023-01-07,BA,Completed,N,0.0,376,2196,24,7750,London,Valencia,1481,E75,Embraer,0.06596092,88.0,0,0,1.0,6.0,Saturday ,20.611702127659573,5.232950708980419,4.2727272727272725,0.2598088364893617,5.840425531914893,0.2538825118163403,6.382978723404255
AAAA242,BA891,2023-01-07,2023-01-07,BA,Cancelled,,,0,1818,28,33644,London,Quito,9551,73H,Boeing,0.03374483,440.0,1,0,1.0,6.0,Saturday ,,3.5225630823997487,0.0,,,0.0,
AAAA679,BA1371,2023-01-08,2023-01-08,BA,Cancelled,,,56,2862,720,45753,Gothenburg,London,763,E90,Embraer,0.03912337,380.0,1,0,1.0,0.0,Sunday   ,817.0178571428571,59.964613368283096,0.14736842105263157,0.53305591625,51.107142857142854,0.07339449541284404,1285.7142857142858
AAAA412,BA1388,2023-01-08,2023-01-08,BA,Completed,Y,1.0,94,1116,17,175471,Trondheim,London,1289,73H,Boeing,0.03374483,440.0,0,1,1.0,0.0,Sunday   ,1866.712765957447,136.12955779674166,0.21363636363636362,0.4627349560638298,11.872340425531915,0.07292474786656322,18.085106382978726
AAAA349,BA1390,2023-01-08,2023-01-08,BA,Cancelled,,,161,2160,680,10900,Linköping,London,957,,,,,1,0,1.0,0.0,Sunday   ,67.70186335403727,11.389759665621735,,,13.416149068322982,0.16823406478578892,422.360248447205
AAAA463,BA1538,2023-01-08,2023-01-08,BA,Completed,N,0.0,101,972,1280,14353,London,Toulouse,997,789,Boeing,0.02456933,550.0,0,0,1.0,0.0,Sunday   ,142.1089108910891,14.396188565697091,0.18363636363636363,0.24253091099009902,9.623762376237623,0.10130391173520562,1267.3267326732673
AAAA565,BA2342,2023-01-08,2023-01-08,BA,Completed,N,0.0,99,2160,680,33259,London,Basel,560,E90,Embraer,0.03912337,380.0,0,0,1.0,0.0,Sunday   ,335.949494949495,59.39107142857143,0.26052631578947366,0.2213039111111111,21.818181818181817,0.1767857142857143,686.8686868686868
AAAA134,BA1444,2023-01-09,2023-01-09,BA,Completed,N,0.0,89,0,0,163403,Paris,London,398,E90,Embraer,0.03912337,380.0,0,0,1.0,1.0,Monday   ,1835.9887640449438,410.5603015075377,0.23421052631578948,0.17495619393258427,0.0,0.2236180904522613,0.0
AAAA870,BA544,2023-01-09,2023-01-09,BA,Scheduled,,,88,2430,0,1594,Muscat,Kuwait City,1201,295,Boeing,0.04320443,400.0,0,0,1.0,1.0,Monday   ,18.113636363636363,1.3272273105745211,0.22,0.5896422776136364,27.613636363636363,0.07327227310574522,0.0
AAAA131,BA893,2023-01-09,2023-01-09,BA,Cancelled,,,89,972,16,43606,Quito,Guayaquil,282,332,Airbus,1.64350667,406.0,1,0,1.0,1.0,Monday   ,489.9550561797753,154.63120567375887,0.21921182266009853,5.207515516179775,10.92134831460674,0.31560283687943264,17.97752808988764
AAAA791,BA1534,2023-01-10,2023-01-10,BA,Completed,Y,1.0,189,2736,1280,43700,Toulouse,London,997,,,,,0,1,1.0,2.0,Tuesday  ,231.21693121693121,43.83149448345035,,,14.476190476190476,0.18956870611835505,677.2486772486773
AAAA112,BA1738,2023-01-10,2023-01-10,BA,Scheduled,,,106,2286,0,13803,London,Glasgow,717,789,Boeing,0.02456933,550.0,0,0,1.0,2.0,Tuesday  ,130.21698113207546,19.251046025104603,0.19272727272727272,0.1661906566981132,21.566037735849058,0.14783821478382148,0.0
AAAA415,BA1997,2023-01-10,2023-01-10,BA,Cancelled,,,98,4752,1080,30854,Lisbon,London,1846,295,Boeing,0.04320443,400.0,1,0,1.0,2.0,Tuesday  ,314.83673469387753,16.71397616468039,0.245,0.813830385510204,48.48979591836735,0.05308775731310943,1102.0408163265306
AAAA624,BA2342,2023-01-10,2023-01-10,BA,Completed,N,0.0,90,3240,160,46006,London,Basel,560,789,Boeing,0.02456933,550.0,0,0,1.0,2.0,Tuesday  ,511.1777777777778,82.15357142857142,0.16363636363636364,0.1528758311111111,36.0,0.16071428571428573,177.77777777777777
AAAA348,BA2359,2023-01-10,2023-01-10,BA,Completed,N,0.0,159,3060,2000,30854,London,Krakow,1073,73H,Boeing,0.03374483,440.0,0,0,1.0,2.0,Tuesday  ,194.0503144654088,28.75489282385834,0.3613636363636364,0.22772454459119496,19.245283018867923,0.14818266542404473,1257.861635220126
AAAA644,BA504,2023-01-10,2023-01-10,BA,Completed,N,0.0,48,0,2000,0,Dammam,London,4705,332,Airbus,1.64350667,406.0,0,0,1.0,2.0,Tuesday  ,0.0,0.0,0.11822660098522167,161.09789338229166,0.0,0.010201912858660999,4166.666666666666
AAAA318,BA608,2023-01-10,2023-01-10,BA,Completed,N,0.0,77,1332,2680,2950,Tel Aviv,London,3311,73J,Boeing,0.02430067,330.0,0,0,1.0,2.0,Tuesday  ,38.311688311688314,0.8909694956206584,0.23333333333333334,1.04492881,17.2987012987013,0.023255813953488372,3480.51948051948
AAAA252,BA893,2023-01-10,2023-01-10,BA,Scheduled,,,161,1260,68,0,Quito,Guayaquil,282,73W,Boeing,0.041417,189.0,0,0,1.0,2.0,Tuesday  ,0.0,0.0,0.8518518518518519,0.07254406211180124,7.826086956521739,0.5709219858156028,42.2360248447205
AAAA261,BA1722,2023-01-11,2023-01-11,BA,Cancelled,,,145,1746,13,43259,London,Nantes,732,73W,Boeing,0.041417,189.0,1,0,1.0,3.0,Wednesday,298.3379310344828,59.09699453551912,0.7671957671957672,0.20908444137931034,12.041379310344828,0.19808743169398907,8.96551724137931
AAAA827,BA1723,2023-01-11,2023-01-11,BA,Completed,Y,1.0,88,0,28,175471,Nantes,London,732,73H,Boeing,0.03374483,440.0,0,1,1.0,3.0,Wednesday,1993.9886363636363,239.71448087431693,0.2,0.28069563136363634,0.0,0.12021857923497267,31.818181818181817
AAAA191,BA1997,2023-01-11,2023-01-11,BA,Scheduled,,,98,1746,26,38353,Lisbon,London,1846,772,Boeing,0.02009067,220.0,0,0,1.0,3.0,Wednesday,391.35714285714283,20.776273022751894,0.44545454545454544,0.3784426206122449,17.816326530612244,0.05308775731310943,26.53061224489796
AAAA219,BA2002,2023-01-11,2023-01-11,BA,Completed,N,0.0,4,4752,13,10550,London,Lisbon,1846,789,Boeing,0.02456933,550.0,0,0,1.0,3.0,Wednesday,2637.5,5.715059588299025,0.007272727272727273,11.338745795,1188.0,0.0021668472372697724,325.0
AAAA302,BA1510,2023-01-12,2023-01-12,BA,Scheduled,,,277,6768,440,464,Edinburgh,London,665,789,Boeing,0.02456933,550.0,0,0,1.0,4.0,Thursday ,1.6750902527075813,0.6977443609022557,0.5036363636363637,0.058984131588447654,24.43321299638989,0.41654135338345866,158.84476534296027
AAAA589,BA1526,2023-01-12,2023-01-12,BA,Completed,N,0.0,62,2664,160,18503,London,Edinburgh,665,772,Boeing,0.02009067,220.0,0,0,1.0,4.0,Thursday ,298.43548387096774,27.82406015037594,0.2818181818181818,0.2154886379032258,42.96774193548387,0.09323308270676692,258.06451612903226
AAAA580,BA1700,2023-01-12,2023-01-12,BA,Completed,N,0.0,191,1386,0,33259,London,Aberdeen,703,E75,Embraer,0.06596092,88.0,0,0,1.0,4.0,Thursday ,174.13089005235602,47.31009957325747,2.1704545454545454,0.2427776270157068,7.2565445026178015,0.2716927453769559,0.0
AAAA306,BA1705,2023-01-12,2023-01-12,BA,Cancelled,,,98,6768,0,103747,London,Aberdeen,703,,,,,1,0,1.0,4.0,Thursday ,1058.642857142857,147.57752489331438,,,69.06122448979592,0.13940256045519203,0.0
AAAA177,BA1753,2023-01-12,2023-01-12,BA,Completed,N,0.0,0,1224,23,23000,Humberside,London,370,73H,Boeing,0.03374483,440.0,0,0,1.0,4.0,Thursday ,,62.16216216216216,0.0,,,0.0,
AAAA525,BA1762,2023-01-12,2023-01-12,BA,Cancelled,,,0,1620,17,464,London,Humberside,370,789,Boeing,0.02456933,550.0,1,0,1.0,4.0,Thursday ,,1.2540540540540541,0.0,,,0.0,
AAAA670,BA2359,2023-01-12,2023-01-12,BA,Cancelled,,,99,1566,680,18447,London,Krakow,1073,,,,,1,0,1.0,4.0,Thursday ,186.33333333333334,17.191985088536814,,,15.818181818181818,0.09226467847157502,686.8686868686868
AAAA597,BA1517,2023-01-13,2023-01-13,BA,Completed,N,0.0,89,2376,17,31288,Edinburgh,London,665,772,Boeing,0.02009067,220.0,0,0,1.0,5.0,Friday   ,351.55056179775283,47.04962406015038,0.40454545454545454,0.15011568033707864,26.696629213483146,0.13383458646616542,19.101123595505616
AAAA656,BA1526,2023-01-13,2023-01-13,BA,Cancelled,,,90,1674,0,57092,London,Edinburgh,665,E75,Embraer,0.06596092,88.0,1,0,1.0,5.0,Friday   ,634.3555555555556,85.85263157894737,1.0227272727272727,0.4873779088888889,18.6,0.13533834586466165,0.0
AAAA341,BA1729,2023-01-13,2023-01-13,BA,Completed,N,0.0,161,6768,0,79313,London,Aarhus,583,332,Airbus,1.64350667,406.0,0,0,1.0,5.0,Friday   ,492.6273291925466,136.04288164665522,0.39655172413793105,5.951331606273292,42.037267080745345,0.27615780445969124,0.0
AAAA735,BA1526,2023-01-14,2023-01-14,BA,Cancelled,,,77,1224,440,14465,London,Edinburgh,665,73W,Boeing,0.041417,189.0,1,0,1.0,6.0,Saturday ,187.85714285714286,21.75187969924812,0.4074074074074074,0.3576922727272727,15.896103896103897,0.11578947368421053,571.4285714285714
AAAA534,BA1526,2023-01-14,2023-01-14,BA,Completed,N,0.0,189,2772,640,18503,London,Edinburgh,665,73J,Boeing,0.02430067,330.0,0,0,1.0,6.0,Saturday ,97.8994708994709,27.82406015037594,0.5727272727272728,0.0855023574074074,14.666666666666666,0.28421052631578947,338.62433862433863
AAAA935,BA1700,2023-01-14,2023-01-14,BA,Completed,N,0.0,93,414,0,129263,London,Aberdeen,703,789,Boeing,0.02456933,550.0,0,0,1.0,6.0,Saturday ,1389.9247311827958,183.87339971550497,0.1690909090909091,0.18572299989247312,4.451612903225806,0.13229018492176386,0.0
AAAA714,BA1739,2023-01-14,2023-01-14,BA,Cancelled,,,326,2430,720,0,Glasgow,London,717,73W,Boeing,0.041417,189.0,1,0,1.0,6.0,Saturday ,0.0,0.0,1.7248677248677249,0.09109199079754601,7.45398773006135,0.45467224546722457,220.8588957055215
AAAA432,BA504,2023-01-14,2023-01-14,BA,Scheduled,,,189,3060,31,45455,Dammam,London,4705,73J,Boeing,0.02430067,330.0,0,0,1.0,6.0,Saturday ,240.5026455026455,9.660998937300745,0.5727272727272728,0.6049452505291005,16.19047619047619,0.04017003188097768,16.402116402116402
AAAA876,BA721,2023-01-14,2023-01-14,BA,Completed,N,0.0,0,2034,27,29995,Kigali,Kampala,339,E75,Embraer,0.06596092,88.0,0,0,1.0,6.0,Saturday ,,88.48082595870207,0.0,,,0.0,
AAAA704,BA907,2023-01-14,2023-01-14,BA,Scheduled,,,98,4752,360,0,Oranjestad,Kralendijk,193,789,Boeing,0.02456933,550.0,0,0,1.0,6.0,Saturday ,0.0,0.0,0.1781818181818182,0.04838653765306122,48.48979591836735,0.5077720207253886,367.34693877551024
AAAA256,BA2004,2023-01-15,2023-01-15,BA,Cancelled,,,99,1674,24,163403,Madrid,London,1460,E75,Embraer,0.06596092,88.0,1,0,1.0,0.0,Sunday   ,1650.5353535353536,111.91986301369863,1.125,0.972757002020202,16.90909090909091,0.06780821917808219,24.242424242424242
AAAA394,BA504,2023-01-15,2023-01-15,BA,Cancelled,,,122,1566,29,10450,Dammam,London,4705,295,Boeing,0.04320443,400.0,1,0,1.0,0.0,Sunday   ,85.65573770491804,2.221041445270988,0.305,1.6662036323770493,12.836065573770492,0.025929861849096705,23.770491803278688
AAAA196,BA922,2023-01-15,2023-01-15,BA,Completed,N,0.0,50,0,1160,51112,Kralendijk,London,0,73H,Boeing,0.03374483,440.0,0,0,1.0,0.0,Sunday   ,1022.24,,0.11363636363636363,,0.0,,2320.0
AAAA847,BA1526,2023-01-16,2023-01-16,BA,Completed,N,0.0,99,972,18,16867,London,Edinburgh,665,,,,,0,0,1.0,1.0,Monday   ,170.37373737373738,25.36390977443609,,,9.818181818181818,0.14887218045112782,18.181818181818183
AAAA686,BA2359,2023-01-16,2023-01-16,BA,Scheduled,,,98,18,480,43412,London,Krakow,1073,,,,,0,0,1.0,1.0,Monday   ,442.9795918367347,40.45852749301025,,,0.1836734693877551,0.09133271202236719,489.7959183673469
AAAA806,BA1379,2023-01-17,2023-01-17,BA,Completed,N,0.0,120,1710,640,175471,London,Helsinki,1521,,,,,0,0,1.0,2.0,Tuesday  ,1462.2583333333334,115.3655489809336,,,14.25,0.07889546351084813,533.3333333333333
AAAA561,BA2001,2023-01-17,2023-01-17,BA,Completed,N,0.0,373,1746,800,0,Lisbon,London,1846,772,Boeing,0.02009067,220.0,0,0,1.0,2.0,Tuesday  ,0.0,0.0,1.6954545454545455,0.09942996466487936,4.680965147453083,0.20205850487540628,214.47721179624665
AAAA417,BA2349,2023-01-17,2023-01-17,BA,Cancelled,,,0,1728,16,33644,London,Basel,560,,,,,1,0,1.0,2.0,Tuesday  ,,60.07857142857143,,,,0.0,
AAAA605,BA504,2023-01-17,2023-01-17,BA,Scheduled,,,159,1728,760,38500,Dammam,London,4705,,,,,0,0,1.0,2.0,Tuesday  ,242.13836477987422,8.182784272051009,,,10.867924528301886,0.03379383634431456,477.98742138364776
AAAA315,BA891,2023-01-17,2023-01-17,BA,Scheduled,,,85,2034,24,79313,London,Quito,9551,E75,Embraer,0.06596092,88.0,0,0,1.0,2.0,Tuesday  ,933.0941176470589,8.304156632813317,0.9659090909090909,7.4116793755294115,23.929411764705883,0.008899591665794158,28.235294117647058
AAAA369,BA894,2023-01-17,2023-01-17,BA,Scheduled,,,0,1782,440,464,London,Panama City,8812,73J,Boeing,0.02430067,330.0,0,0,1.0,2.0,Tuesday  ,,0.05265546981389015,0.0,,,0.0,
AAAA632,BA907,2023-01-17,2023-01-17,BA,Scheduled,,,277,1458,680,48700,Oranjestad,Kralendijk,193,73H,Boeing,0.03374483,440.0,0,0,1.0,2.0,Tuesday  ,175.81227436823104,252.33160621761658,0.6295454545454545,0.023511740758122745,5.263537906137184,1.4352331606217616,245.48736462093862
AAAA317,BA1310,2023-01-18,2023-01-18,BA,Scheduled,,,163,0,10,30706,Stockholm,London,1153,73W,Boeing,0.041417,189.0,0,0,1.0,3.0,Wednesday,188.38036809815952,26.631396357328708,0.8624338624338624,0.2929681042944785,0.0,0.14137033824804857,6.134969325153374
AAAA681,BA1517,2023-01-18,2023-01-18,BA,Scheduled,,,0,2916,1,87013,Edinburgh,London,665,789,Boeing,0.02456933,550.0,0,0,1.0,3.0,Wednesday,,130.84661654135337,0.0,,,0.0,
AAAA482,BA1517,2023-01-18,2023-01-18,BA,Scheduled,,,27,900,1360,43700,Edinburgh,London,665,E75,Embraer,0.06596092,88.0,0,0,1.0,3.0,Wednesday,1618.5185185185185,65.71428571428571,0.3068181818181818,1.6245930296296296,33.333333333333336,0.0406015037593985,5037.037037037037
AAAA881,BA1534,2023-01-18,2023-01-18,BA,Completed,N,0.0,81,0,19,43253,Toulouse,London,997,73J,Boeing,0.02430067,330.0,0,0,1.0,3.0,Wednesday,533.9876543209876,43.38314944834504,0.24545454545454545,0.29910824679012343,0.0,0.08124373119358075,23.456790123456788
AAAA582,BA544,2023-01-18,2023-01-18,BA,Scheduled,,,161,0,640,14353,Muscat,Kuwait City,1201,E75,Embraer,0.06596092,88.0,0,0,1.0,3.0,Wednesday,89.14906832298136,11.950874271440465,1.8295454545454546,0.49204388149068323,0.0,0.1340549542048293,397.51552795031057
AAAA241,BA907,2023-01-18,2023-01-18,BA,Completed,N,0.0,0,1512,920,1594,Oranjestad,Kralendijk,193,73W,Boeing,0.041417,189.0,0,0,1.0,3.0,Wednesday,,8.259067357512953,0.0,,,0.0,
AAAA395,BA949,2023-01-18,2023-01-18,BA,Scheduled,,,97,2088,680,43700,Bangkok,London,9207,295,Boeing,0.04320443,400.0,0,0,1.0,3.0,Wednesday,450.5154639175258,4.746388617356359,0.2425,4.100857598041237,21.52577319587629,0.010535462148365374,701.0309278350516
AAAA734,BA1374,2023-01-19,2023-01-19,BA,Completed,Y,1.0,135,1890,13,0,Helsinki,London,1521,73H,Boeing,0.03374483,440.0,0,1,1.0,4.0,Thursday ,0.0,0.0,0.3068181818181818,0.3801917513333333,14.0,0.08875739644970414,9.62962962962963
AAAA671,BA1379,2023-01-19,2023-01-19,BA,Cancelled,,,95,2340,0,38500,London,Helsinki,1521,,,,,1,0,1.0,4.0,Thursday ,405.2631578947368,25.312294543063775,,,24.63157894736842,0.062458908612754764,0.0
AAAA469,BA1702,2023-01-19,2023-01-19,BA,Scheduled,,,0,1890,1240,48700,Aberdeen,London,703,E90,Embraer,0.03912337,380.0,0,0,1.0,4.0,Thursday ,,69.27453769559033,0.0,,,0.0,
AAAA944,BA1723,2023-01-19,2023-01-19,BA,Cancelled,,,0,0,24,33259,Nantes,London,732,772,Boeing,0.02009067,220.0,1,0,1.0,4.0,Thursday ,,45.435792349726775,0.0,,,0.0,
AAAA838,BA2006,2023-01-19,2023-01-19,BA,Completed,N,0.0,100,1602,680,129263,Madrid,London,1460,,,,,0,0,1.0,4.0,Thursday ,1292.63,88.53630136986301,,,16.02,0.0684931506849315,680.0
AAAA484,BA894,2023-01-19,2023-01-19,BA,Scheduled,,,84,648,600,33259,London,Panama City,8812,772,Boeing,0.02009067,220.0,0,0,1.0,4.0,Thursday ,395.9404761904762,3.7742850658193374,0.38181818181818183,2.107606952857143,7.714285714285714,0.009532455742169769,714.2857142857143
AAAA393,BA2000,2023-01-20,2023-01-20,BA,Scheduled,,,135,6768,23,43253,London,Lisbon,1846,E75,Embraer,0.06596092,88.0,0,0,1.0,5.0,Friday   ,320.3925925925926,23.430660888407367,1.5340909090909092,0.9019545060740741,50.13333333333333,0.07313109425785481,17.037037037037038
